protein1	protein2	confidence
ABI1	WASF2	0.994
ABI1	WASL	0.986
ABI1	ZNF511	0.156
ABI2	ABI1	0.912
ABI2	APPL2	0.364
ABI2	BRK1	0.98
ABI2	CCDC36	0.375
ABI2	CYFIP1	0.959
ABI2	ENAH	0.428
ABI2	LHX4	0.156
ABI2	NCKAP1	0.984
ABI2	NLGN1	0.251
ABI2	PCDH10	0.242
ABI2	PCDH17	0.265
ABI2	PRR16	0.253
ABI2	TRIM32	0.743
ABI2	UBXN11	0.165
ABI2	VPS37C	0.34
ABI2	WASF1	0.974
ABI2	WASF2	0.971
ABI2	WASL	0.962
ABI2	WIPF1	0.905
ABI2	ZNF511	0.187
ABI3	ABI3BP	0.966
ABI3	CYFIP2	0.555
ABI3	NUP58	0.36
ABI3	RUNX1T1	0.243
ABL1	ABI1	0.975
ABL1	ABI2	0.991
ABL1	ABL2	0.936
ABL1	ABR	0.475
ABL1	ACAP1	0.268
ABL1	ACTA1	0.494
ABL1	ADAM15	0.385
ABL1	AIRE	0.16
ABL1	ANKRA2	0.505
ABL1	AP2A1	0.209
ABL1	AP2B1	0.375
ABL1	APBB1	0.679
ABL1	ARHGAP17	0.402
ABL1	ARHGEF11	0.171
ABL1	ASAP1	0.292
ABL1	ASB16	0.323
ABL1	ATM	0.987
ABL1	ATR	0.958
ABL1	BAZ2A	0.275
ABL1	BCAR1	0.817
ABL1	BCL2L1	0.868
ABL1	BMP2K	0.189
ABL1	BMP8B	0.187
ABL1	BRCA1	0.96
ABL1	BRCA2	0.398
ABL1	BRPF3	0.251
ABL1	BTK	0.462
ABL1	C3	0.337
ABL1	CABLES1	0.934
ABL1	CABLES2	0.926
ABL1	CAP1	0.932
ABL1	CASP9	0.826
ABL1	CAT	0.563
ABL1	CAV1	0.728
ABL1	CBLB	0.845
ABL1	CCND2	0.569
ABL1	CD2AP	0.227
ABL1	CDK1	0.568
ABL1	CDK5	0.955
ABL1	CDKN1A	0.791
ABL1	CDKN1B	0.77
ABL1	CDON	0.939
ABL1	CELSR3	0.179
ABL1	CENPA	0.193
ABL1	CHRD	0.155
ABL1	CKAP5	0.209
ABL1	CNTNAP1	0.667
ABL1	CREB1	0.776
ABL1	CRK	0.941
ABL1	CTNND2	0.438
ABL1	CYP4F2	0.239
ABL1	DDB2	0.441
ABL1	DOCK3	0.248
ABL1	DOK1	0.81
ABL1	DOK2	0.58
ABL1	DUSP15	0.31
ABL1	EEF1G	0.235
ABL1	EFNA5	0.459
ABL1	EFS	0.234
ABL1	EGFR	0.469
ABL1	EIF2A	0.189
ABL1	ENAH	0.965
ABL1	EP300	0.636
ABL1	EPHA3	0.932
ABL1	EPHB2	0.939
ABL1	ERBB3	0.36
ABL1	ERBB4	0.34
ABL1	EVL	0.393
ABL1	FGFR1OP	0.546
ABL1	FLNC	0.279
ABL1	FOS	0.797
ABL1	FOXF2	0.155
ABL1	FUS	0.629
ABL1	GAB3	0.484
ABL1	GAD1	0.181
ABL1	GNS	0.156
ABL1	GPX1	0.688
ABL1	GRB10	0.392
ABL1	GRIN2D	0.638
ABL1	GSTZ1	0.261
ABL1	GTF2F1	0.371
ABL1	GTF3A	0.301
ABL1	HCLS1	0.457
ABL1	HCN2	0.159
ABL1	HCN4	0.154
ABL1	HLA-DRA	0.811
ABL1	HNRNPM	0.249
ABL1	HSPE1	0.185
ABL1	HUWE1	0.501
ABL1	ICE2	0.333
ABL1	INPPL1	0.511
ABL1	JAK2	0.555
ABL1	KHDRBS1	0.479
ABL1	KIFC2	0.21
ABL1	KMT2B	0.247
ABL1	LARS	0.496
ABL1	LATS2	0.43
ABL1	LIG3	0.317
ABL1	LRBA	0.374
ABL1	LRRK1	0.334
ABL1	MAP4K1	0.512
ABL1	MAPT	0.721
ABL1	MAVS	0.701
ABL1	MBP	0.517
ABL1	MDM4	0.718
ABL1	MED25	0.36
ABL1	MICAL1	0.423
ABL1	MKI67	0.203
ABL1	MSH4	0.402
ABL1	MSH5	0.71
ABL1	MTOR	0.863
ABL1	MUC1	0.474
ABL1	NAA25	0.778
ABL1	NARS	0.474
ABL1	NEDD9	0.725
ABL1	NEK8	0.21
ABL1	NELFB	0.19
ABL1	NFASC	0.2
ABL1	NFKBIA	0.612
ABL1	NKX2-1	0.178
ABL1	NOTCH3	0.475
ABL1	NTRK1	0.939
ABL1	OGN	0.329
ABL1	ORC1	0.216
ABL1	PAG1	0.439
ABL1	PAK2	0.502
ABL1	PAK4	0.816
ABL1	PARK7	0.573
ABL1	PAX3	0.34
ABL1	PCNA	0.766
ABL1	PDE4D	0.356
ABL1	PDIA2	0.309
ABL1	PEMT	0.351
ABL1	PFDN4	0.503
ABL1	PIK3R2	0.485
ABL1	PLSCR1	0.699
ABL1	POLD1	0.216
ABL1	PPP3CA	0.548
ABL1	PRDX1	0.691
ABL1	PRICKLE3	0.158
ABL1	PRKCZ	0.4
ABL1	PRKD1	0.476
ABL1	PRKDC	0.837
ABL1	PSMA4	0.35
ABL1	PSMA7	0.503
ABL1	PSMD4	0.417
ABL1	PSTPIP1	0.72
ABL1	PTBP3	0.167
ABL1	PTPN1	0.712
ABL1	PTPN12	0.685
ABL1	PTPN18	0.587
ABL1	PTPN4	0.323
ABL1	PTPN6	0.657
ABL1	PXN	0.851
ABL1	RAD51	0.983
ABL1	RAD52	0.971
ABL1	RAD9A	0.733
ABL1	RAN	0.506
ABL1	RAPGEF1	0.764
ABL1	RASA1	0.475
ABL1	RB1	0.985
ABL1	RGS20	0.168
ABL1	RIN1	0.907
ABL1	ROBO1	0.948
ABL1	ROS1	0.307
ABL1	RPLP1	0.252
ABL1	RPP38	0.193
ABL1	RTFDC1	0.777
ABL1	RTN4	0.183
ABL1	RWDD2A	0.324
ABL1	RYBP	0.387
ABL1	SCARF2	0.198
ABL1	SELENON	0.177
ABL1	SEMA7A	0.196
ABL1	SF1	0.205
ABL1	SF3B4	0.163
ABL1	SFN	0.596
ABL1	SH3BP1	0.428
ABL1	SH3BP2	0.513
ABL1	SH3KBP1	0.211
ABL1	SHB	0.502
ABL1	SHC1	0.91
ABL1	SHD	0.537
ABL1	SHE	0.385
ABL1	SLC22A3	0.162
ABL1	SLC33A1	0.4
ABL1	SNX12	0.155
ABL1	SNX3	0.155
ABL1	SNX8	0.155
ABL1	SOCS1	0.751
ABL1	SOCS3	0.54
ABL1	SORBS1	0.446
ABL1	SORBS2	0.685
ABL1	SORBS3	0.452
ABL1	SOS2	0.463
ABL1	SPAG9	0.938
ABL1	SPRR2A	0.336
ABL1	SPTA1	0.498
ABL1	SPTAN1	0.45
ABL1	SRPK2	0.464
ABL1	ST5	0.658
ABL1	STK4	0.442
ABL1	STON2	0.156
ABL1	SUV39H2	0.317
ABL1	SYNJ2	0.294
ABL1	TERT	0.956
ABL1	TLN2	0.353
ABL1	TOP1	0.579
ABL1	TOPBP1	0.419
ABL1	TUB	0.419
ABL1	UBASH3B	0.179
ABL1	UBC	0.497
ABL1	UHMK1	0.318
ABL1	VAV1	0.558
ABL1	VPREB1	0.338
ABL1	VPS13A	0.171
ABL1	WASF1	0.941
ABL1	WASF2	0.971
ABL1	WASL	0.743
ABL1	WNK2	0.163
ABL1	WRNIP1	0.404
ABL1	YAP1	0.779
ABL1	YTHDC1	0.297
ABL1	YWHAB	0.553
ABL1	YWHAE	0.552
ABL1	YWHAH	0.544
ABL1	YWHAQ	0.756
ABL1	ZDHHC16	0.639
ABL2	CD84	0.344
ABL2	MPIG6B	0.344
ABL2	TRIP10	0.238
ABLIM1	ABRA	0.872
ABLIM1	LUZP4	0.152
ABLIM1	SEPSECS	0.596
ABLIM1	ZMYM1	0.196
ABLIM2	ABRA	0.903
ABRA	ABLIM3	0.903
ABRAXAS1	BABAM2	0.988
ABRAXAS1	BRCC3	0.997
ABRAXAS1	UBC	0.936
ABRAXAS1	UIMC1	0.993
ABRAXAS2	BABAM2	0.981
ABRAXAS2	BRCC3	0.991
ABRAXAS2	CYTIP	0.172
ABRAXAS2	HUWE1	0.354
ABRAXAS2	THAP5	0.453
ABRAXAS2	UBC	0.409
ABRAXAS2	UIMC1	0.866
ABT1	CA10	0.187
ABT1	NAP1L5	0.229
ABTB1	DNTTIP1	0.384
ABTB2	DNTT	0.285
AC010132.3	PSMB5	0.999
AC010323.1	DNAJC30	0.335
AC010323.1	ECI2	0.51
AC010323.1	MRRF	0.503
AC010323.1	QKI	0.774
AC010323.1	TBL2	0.503
ACAA1	AC010323.1	0.51
ACAA1	C6orf226	0.774
ACAA1	MTHFD2	0.65
ACAA1	PEX7	0.99
ACAA1	SF3B4	0.513
ACAA1	TRAPPC5	0.503
ACAA1	TRAPPC9	0.186
ACAA1	ZDHHC5	0.505
ACAA2	ACO2	0.838
ACAA2	AK2	0.483
ACAA2	ATP1B1	0.417
ACAA2	ATP1B3	0.417
ACAA2	CHAT	0.504
ACAA2	CSRP1	0.417
ACAA2	FKBP2	0.458
ACAA2	H2AFZ	0.176
ACAA2	ISYNA1	0.662
ACAA2	MTIF2	0.202
ACAA2	PFN1	0.573
ACAA2	PGD	0.811
ACAA2	PGK1	0.534
ACAA2	POFUT1	0.417
ACAA2	PRDX1	0.588
ACAA2	PREPL	0.359
ACAA2	RTN4	0.513
ACAA2	SF3B4	0.513
ACAA2	SH3PXD2B	0.417
ACAA2	TAF15	0.417
ACAA2	TAGLN	0.428
ACAA2	TAGLN2	0.446
ACAA2	TAX1BP3	0.774
ACAA2	TERT	0.221
ACAA2	TIAL1	0.774
ACAA2	TMEM65	0.782
ACAA2	TOMM40	0.503
ACAA2	TRMT61B	0.269
ACAA2	ZFR	0.685
ACACA	AKR1B10	0.624
ACACA	ARL1	0.399
ACACA	COPB1	0.779
ACACA	DCAF6	0.412
ACACA	EGFR	0.238
ACACA	FNDC11	0.188
ACACA	GRK2	0.167
ACACA	IARS	0.53
ACACA	IFIT1	0.199
ACACA	PSG4	0.161
ACACA	RPS6KA1	0.393
ACACA	SGCZ	0.17
ACACA	SOCS6	0.18
ACACB	HUWE1	0.255
ACAD10	ETNK1	0.417
ACAD10	P2RY8	0.16
ACAD11	DUSP19	0.158
ACAD11	GTSE1	0.161
ACAD11	NSFL1C	0.36
ACAD11	PIMREG	0.184
ACAD11	PPP6R1	0.616
ACAD11	PPP6R3	0.596
ACAD11	ZMYM5	0.179
ACAD8	ABHD11	0.685
ACAD8	ACADSB	0.558
ACAD8	IPO8	0.153
ACAD8	VSTM2A	0.601
ACAD9	ATP5B	0.252
ACAD9	ATP5D	0.176
ACAD9	ATP5O	0.167
ACAD9	ATP6	0.242
ACAD9	ECSIT	0.982
ACAD9	ERAL1	0.503
ACAD9	FAS	0.198
ACAD9	FOXRED1	0.271
ACAD9	ND6	0.978
ACAD9	NDUFA13	0.978
ACAD9	NDUFA2	0.95
ACAD9	NDUFAF1	0.984
ACAD9	NDUFAF3	0.976
ACAD9	NDUFAF4	0.964
ACAD9	NDUFS7	0.978
ACAD9	OTUD7B	0.488
ACAD9	P2RY12	0.182
ACAD9	PDSS1	0.796
ACAD9	SSR1	0.503
ACAD9	TMEM126B	0.984
ACAD9	VDAC3	0.151
ACADL	SYT2	0.608
ACADL	TMPRSS11A	0.326
ACADM	AASS	0.479
ACADM	AHSA1	0.449
ACADM	ARF1	0.438
ACADM	ARF4	0.438
ACADM	ATP1A1	0.527
ACADM	ATP5C1	0.546
ACADM	ATP6V1A	0.436
ACADM	ATP9A	0.425
ACADM	CANX	0.442
ACADM	CCT6B	0.438
ACADM	CLPP	0.237
ACADM	CTSD	0.461
ACADM	DDOST	0.43
ACADM	DDX39B	0.8
ACADM	DNAJA1	0.499
ACADM	ETFA	0.972
ACADM	FAF2	0.36
ACADM	FAXC	0.43
ACADM	GALE	0.477
ACADM	GFPT1	0.451
ACADM	GFPT2	0.454
ACADM	HIBCH	0.913
ACADM	HSP90B1	0.484
ACADM	IDH3A	0.604
ACADM	JUN	0.208
ACADM	LDHA	0.591
ACADM	NFS1	0.78
ACADM	PPP2R1A	0.432
ACADM	PPP2R1B	0.432
ACADM	PRKCSH	0.782
ACADM	PSMC2	0.48
ACADM	RAB2A	0.44
ACADM	RPN1	0.432
ACADM	SEC63	0.427
ACADM	SLC25A3	0.465
ACADM	STRAP	0.19
